 lambda  el is  lg A   lg gf  E_i   Eion(l) Eion(u)
5003.291 28  2  -5.79  -1.40 12.253  7.635 18.168
5003.326 25  1  -6.65  -2.33  5.112     --  7.435
5003.414 28  2  -5.79    .70 12.540  7.635 18.168
5003.428  9  1  -7.48  -2.26 14.400     -- 17.422
5003.429 24  1  -6.37  -2.26  4.613     --  6.766
5003.467 25  3  -6.65  -4.45 14.347 15.640 33.667
5003.484 26  4  -4.53  -3.07 24.317 30.651 54.800
5003.556 26  2  -4.53  -3.97  7.971  7.870 16.180
5003.567 23  1  -8.04  -3.35  3.815     --  6.740
5003.572 23  1  -8.04  -4.45  2.247     --  6.740
5003.619 28  3  -5.79  -2.84 25.790 18.168 35.170
5003.642 24  2  -6.37  -3.89 11.144  6.766 16.500
5003.700 26  2  -4.53  -3.94 11.237  7.870 16.180
5003.734 28  1  -5.79  -2.80  1.676     --  7.635
5003.739 25  1  -6.65  -2.19  4.679     --  7.435
5003.762 24  2  -6.37  -4.09  5.871  6.766 16.500
5003.827 28  2  -5.79  -1.33 14.366  7.635 18.168
5003.843 26  1  -4.53  -5.61  2.609     --  7.870
5003.885  7  2  -4.07  -1.01 25.140 14.534 29.601
5004.037 26  1  -4.53  -1.33  4.209     --  7.870
5004.055 28  2  -5.79  -3.46 14.258  7.635 18.168
5004.078 25  1  -6.65  -6.11  3.134     --  7.435
5004.131 18  2  -5.48  -1.21 24.177 15.759 27.629
5004.193 27  1  -7.12  -2.18  2.871     --  7.860
5004.195 26  2  -4.53    .50 10.273  7.870 16.180
5004.208 26  2  -4.53  -3.20 10.348  7.870 16.180
5004.212 26  1  -4.53  -2.66  3.635     --  7.870
5004.235 25  3  -6.65  -8.14 11.395 15.640 33.667
5004.316 18  1  -5.48  -4.77 13.153     -- 15.759
5004.340 26  1  -4.53  -3.02  3.301     --  7.870
5004.356 24  1  -6.37  -1.35  3.011     --  6.766
5004.376 24  1  -6.37  -3.30  3.449     --  6.766
5004.386 30  3  -7.44  -3.94 32.336 17.964 39.722
5004.386 30  3  -7.44  -2.79 32.336 17.964 39.722
5004.391 26  2  -4.53  -2.76 11.518  7.870 16.180
5004.435 39  1  -9.80  -1.73  2.003     --  6.380
5004.441 26  1  -4.53  -7.25  3.047     --  7.870
5004.591 59  2 -11.33   -.75   .968  5.420 10.550
5004.666 18  2  -5.48  -1.76 23.487 15.759 27.629
5004.690 26  1  -4.53  -3.90  4.584     --  7.870
5004.773 26  2  -4.53   -.76 10.381  7.870 16.180
5004.779 25  2  -6.65  -4.13  7.382  7.435 15.640
5004.784 25  2  -6.65  -4.01  6.671  7.435 15.640
5004.810 58  1 -10.49   -.66   .516     --  5.470
5004.892 25  1  -6.65  -1.66  2.920     --  7.435
5004.980 23  2  -8.04  -4.32  6.534  6.740 14.650
5005.060 22  2  -7.05  -4.14  7.721  6.820 13.580
5005.062 22  3  -7.05  -1.06 18.319 13.580 27.491
5005.065  7  1  -4.07  -3.95 11.838     -- 14.534
5005.087 24  1  -6.37  -2.75  4.455     --  6.766
5005.107 21  1  -8.94  -1.24  2.509     --  6.540
5005.112 30  3  -7.44  -2.96 26.914 17.964 39.722
5005.120 18  1  -5.48  -3.24 13.172     -- 15.759
5005.150  7  2  -4.07    .61 20.666 14.534 29.601
5005.157 22  2  -7.05  -2.55  1.566  6.820 13.580
